algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_min_ms,julia_min_ms,julia_over_cubie_speedup
tsit5,performance,fixed,fixed,none,512,dt,0.0009765625,0.5846240092068911,0.398761,0.6820811217468893
tsit5,performance,fixed,fixed,none,524288,dt,0.0009765625,25.092941999901086,35.154613,1.400976139032983
tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,0.5844689439982176,0.39988,0.6841766429273606
tsit5,performance,fixed,fixed,none,8192,dt,0.0009765625,0.7491339929401875,0.611431,0.8161837611990702
tsit5,performance,fixed,fixed,none,8388608,dt,0.0009765625,395.47035098075867,530.921112,1.3425054765378142
tsit5,work_precision,adaptive,default,both,32768,tol,0.0001,0.5102390423417091,0.440807,0.8639225214459183
tsit5,work_precision,adaptive,default,both,32768,tol,0.001,0.504210009239614,0.415552,0.8241645195157532
tsit5,work_precision,adaptive,default,both,32768,tol,0.01,0.4937590565532446,0.375133,0.7597491023631431
tsit5,work_precision,adaptive,default,both,32768,tol,1e-05,0.5307879764586687,0.503564,0.9487102615995512
tsit5,work_precision,adaptive,default,both,32768,tol,1e-06,0.5613981047645211,0.786722,1.4013620518544343
tsit5,work_precision,adaptive,default,both,32768,tol,1e-07,0.6107660010457039,0.726816,1.1900073002681957
tsit5,work_precision,adaptive,default,both,32768,tol,1e-08,0.7911019492894411,1.417218,1.7914479938684633
tsit5,work_precision,adaptive,default,none,32768,tol,0.0001,0.3101859474554658,0.166044,0.5353047143563439
tsit5,work_precision,adaptive,default,none,32768,tol,0.001,0.3119610482826829,0.130313,0.4177220224042751
tsit5,work_precision,adaptive,default,none,32768,tol,0.01,0.3136860905215144,0.107284,0.34201070191424965
tsit5,work_precision,adaptive,default,none,32768,tol,1e-05,0.32998702954500914,0.221227,0.6704111986008389
tsit5,work_precision,adaptive,default,none,32768,tol,1e-06,0.359184923581779,0.307727,0.8567369613717567
tsit5,work_precision,adaptive,default,none,32768,tol,1e-07,0.41090999729931355,0.459755,1.1188703195875447
tsit5,work_precision,adaptive,default,none,32768,tol,1e-08,0.5923990393057466,1.145446,1.9335716704442816
tsit5,work_precision,adaptive,pi,both,32768,tol,0.0001,0.5107879405841231,0.440807,0.8629941409656328
tsit5,work_precision,adaptive,pi,both,32768,tol,0.001,0.49348396714776754,0.415552,0.8420780160332305
tsit5,work_precision,adaptive,pi,both,32768,tol,0.01,0.486746896058321,0.375133,0.7706941801536467
