framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,10,0.4416430019773543
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,11,0.7512910015066154
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,11,0.4506309996941127
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,12,0.7543750034528784
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,12,0.4449869957170449
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,13,0.7562210012110882
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,13,0.44508699647849426
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,14,0.7511170042562298
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,14,0.44980799430049956
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,15,0.7499220009776764
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,15,0.44500600051833317
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,16,0.7575909985462204
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,16,0.4453389992704615
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,17,0.7492240038118325
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,17,0.4451790009625256
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,18,0.7548029971076176
