framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,rosenbrock23_sciml,performance,fixed,fixed,both,32,dt,0.0009765625,10,1505.3273,1510.041365,1528.4815,1577.54752,1588.4935
julia,rosenbrock23_sciml,performance,fixed,fixed,none,32,dt,0.0009765625,10,1497.6738,1500.24186,1548.5708,1635.822645,1652.2098
julia,rosenbrock23_sciml,performance,adaptive,julia,both,32,tol,1.0e-8,3,6655.2971,6661.30083,6715.3344,6723.848220000001,6724.7942
julia,rosenbrock23_sciml,performance,adaptive,julia,none,32,tol,1.0e-8,3,6602.1287,6608.71568,6667.9985,6710.122009999999,6714.8024
julia,rosenbrock23_sciml,performance,fixed,fixed,both,128,dt,0.0009765625,5,3587.7233,3590.3586,3640.3154,3675.3605199999997,3675.8945
julia,rosenbrock23_sciml,performance,fixed,fixed,none,128,dt,0.0009765625,5,3572.8095,3580.51716,3625.373,3681.4876799999997,3691.0719
julia,rosenbrock23_sciml,performance,adaptive,julia,both,128,tol,1.0e-8,3,13830.3178,13832.89545,13856.0943,14017.34001,14035.2562
julia,rosenbrock23_sciml,performance,adaptive,julia,none,128,tol,1.0e-8,3,13805.2159,13806.86725,13821.7294,13913.5438,13923.7454
julia,rosenbrock23_sciml,performance,fixed,fixed,both,512,dt,0.0009765625,10,2908.2408,2929.130655,2986.7996000000003,3093.877025,3110.2874
julia,rosenbrock23_sciml,performance,fixed,fixed,none,512,dt,0.0009765625,10,2902.3107,2903.24949,2961.2192,2985.382605,2990.3232
julia,rosenbrock23_sciml,performance,adaptive,julia,both,512,tol,1.0e-8,3,11968.1993,11975.65491,12042.7554,12071.29638,12074.4676
julia,rosenbrock23_sciml,performance,adaptive,julia,none,512,tol,1.0e-8,3,11870.3001,11872.664400000001,11893.9431,12083.74158,12104.8303
julia,rosenbrock23_sciml,performance,fixed,fixed,both,2048,dt,0.0009765625,3,15908.6683,15914.40008,15965.9861,15982.10528,15983.8963
julia,rosenbrock23_sciml,performance,fixed,fixed,none,2048,dt,0.0009765625,3,15834.4007,15841.76266,15908.0203,15910.09651,15910.3272
julia,rosenbrock23_sciml,performance,adaptive,julia,both,2048,tol,1.0e-8,3,61696.0776,61700.475249999996,61740.0541,62005.24414,62034.7097
julia,rosenbrock23_sciml,performance,adaptive,julia,none,2048,tol,1.0e-8,3,61617.2915,61618.98837,61634.2602,61968.81153,62005.9839
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8192,dt,0.0009765625,3,63559.0521,63582.25192,63791.0503,63827.53846,63831.5927
julia,rosenbrock23_sciml,performance,fixed,fixed,none,8192,dt,0.0009765625,3,63560.2933,63564.9344,63606.7043,63979.24445,64020.6378
